Name,Country,Time,Games,Year
elaine thompson,JAM,10.71,rio 2016,2016
shelly-ann fraser-pryce,JAM,10.75,london 2012,2012
shelly-ann fraser-pryce,JAM,10.78,beijing 2008,2008
yuliya nestsiarenka,BLR,10.93,athens 2004,2004
aikaterini thanou,GRE,11.12,sydney 2000,2000
yolanda gail devers-roberts,USA,10.94,atlanta 1996,1996
yolanda gail devers-roberts,USA,10.82,barcelona 1992,1992
florence griffith-joyner,USA,10.54w,seoul 1988,1988
evelyn ashford,USA,10.97,los-angeles 1984,1984
lyudmila kondratyeva,URS,11.06,moscow 1980,1980
annegret richter,FRG,11.08,montreal 1976,1976
renate stecher,GDR,11.07,munich 1972,1972
wyomia tyus,USA,11.00,mexico-city 1968,1968
wyomia tyus,USA,11.40,tokyo 1964,1964
wilma rudolph,USA,11.0w,rome 1960,1960
betty cuthbert,AUS,11.50,melbourne 1956,1956
marjorie jackson,AUS,11.50,helsinki 1952,1952
fanny blankers-koen,NED,11.90,london 1948,1948
helen herring stephens,USA,11.5w,berlin 1936,1936
stanislawa walasiewicz,POL,11.90,los-angeles 1932,1932
elizabeth robinson,USA,12.20,amsterdam 1928,1928
,,,paris 1924,1924
,,,antwerp 1920,1920
,,,stockholm 1912,1912
,,,london 1908,1908
,,,st-louis 1904,1904
,,,paris 1900,1900
,,,athens 1896,1896
